mun_upp,Região de Planejamento,valor
PALMÁCIA,Maciço de Baturité,846566.0099999999
PARACURU,Grande Fortaleza,1306575.24
PARAIPABA,Grande Fortaleza,1431473.9400000002
PARAMBU,Sertão dos Inhamuns,923617.16
PARAMOTI,Sertão de Canindé,703004.73
PEDRA BRANCA,Sertão Central,1785533.7600000002
PENAFORTE,Cariri,787981.9500000001
PENTECOSTE,Litoral Oeste / Vale do Curu,1182629.6199999999
PEREIRO,Vale do Jaguaribe,1106144.47
PINDORETAMA,Grande Fortaleza,1322089.1999999997
PIQUET CARNEIRO,Sertão Central,865240.77
PIRES FERREIRA,Sertão de Sobral,385130.14999999997
PORANGA,Sertão dos Crateús,944086.1
PORTEIRAS,Cariri,765686.9400000001
POTENGI,Cariri,892989.26
POTIRETAMA,Vale do Jaguaribe,783950.44
QUITERIANÓPOLIS,Sertão dos Inhamuns,769964.91
QUIXADÁ,Sertão Central,4184493.63
QUIXELÔ,Centro Sul,948933.5399999999
QUIXERAMOBIM,Sertão Central,3125271.01
QUIXERÉ,Vale do Jaguaribe,755122.22
REDENÇÃO,Maciço de Baturité,1366620.43
RERIUTABA,Sertão de Sobral,916362.1900000001
RUSSAS,Vale do Jaguaribe,2038087.53
SABOEIRO,Centro Sul,1120806.92
SALITRE,Cariri,565277.8200000001
SANTA QUITÉRIA,Sertão dos Crateús,1402504.7799999998
SANTANA DO ACARAÚ,Sertão de Sobral,3385353.96
SANTANA DO CARIRI,Cariri,1511454.75
SENADOR POMPEU,Sertão Central,1634116.6199999999
SENADOR SÁ,Sertão de Sobral,709988.75
SOBRAL,Sertão de Sobral,4562300.159999999
SOLONÓPOLE,Sertão Central,823907.34
SÃO BENEDITO,Serra da Ibiapaba,2137782.81
SÃO GONÇALO DO AMARANTE,Grande Fortaleza,2127492.93
SÃO JOÃO DO JAGUARIBE,Vale do Jaguaribe,558898.53
SÃO LUÍS DO CURU,Grande Fortaleza,615078.3
TABULEIRO DO NORTE,Vale do Jaguaribe,1274422.94
TAMBORIL,Sertão dos Crateús,1603955.0499999998
TARRAFAS,Cariri,608172.6900000001
TAUÁ,Sertão dos Inhamuns,1784561.51
TEJUÇUOCA,Litoral Oeste / Vale do Curu,2091610.36
TIANGUÁ,Serra da Ibiapaba,3332317.27
TRAIRI,Grande Fortaleza,3593431.31
TURURU,Litoral Oeste / Vale do Curu,891968.8400000001
UBAJARA,Serra da Ibiapaba,748294.72
UMARI,Centro Sul,504641.31
UMIRIM,Litoral Oeste / Vale do Curu,2123660.55
URUBURETAMA,Litoral Oeste / Vale do Curu,1079174.32
URUOCA,Litoral Norte,958499.91
VARJOTA,Sertão de Sobral,522066.65
VIÇOSA DO CEARÁ,Serra da Ibiapaba,5885055.919999999
VÁRZEA ALEGRE,Cariri,2058953.84
