Região de Planejamento,Município,Total,mun_upp
SERRA DA IBIAPABA,Ubajara,163,UBAJARA
SERRA DA IBIAPABA,Viçosa do Ceará,743,VIÇOSA DO CEARÁ
SERTÃO CENTRAL,Banabuiú,100,BANABUIÚ
SERTÃO CENTRAL,Choró,132,CHORÓ
SERTÃO CENTRAL,Deputado Irapuan Pinheiro,114,DEPUTADO IRAPUAN PINHEIRO
SERTÃO CENTRAL,Ibaretama,174,IBARETAMA
SERTÃO CENTRAL,Ibicuitinga,103,IBICUITINGA
SERTÃO CENTRAL,Milhã,100,MILHÃ
SERTÃO CENTRAL,Mombaça,352,MOMBAÇA
SERTÃO CENTRAL,Pedra Branca,206,PEDRA BRANCA
SERTÃO CENTRAL,Piquet Carneiro,125,PIQUET CARNEIRO
SERTÃO CENTRAL,Quixadá,509,QUIXADÁ
SERTÃO CENTRAL,Quixeramobim,363,QUIXERAMOBIM
SERTÃO CENTRAL,Senador Pompeu,245,SENADOR POMPEU
SERTÃO CENTRAL,Solonópole,110,SOLONÓPOLE
SERTÃO DE CANINDÉ,Boa Viagem,333,BOA VIAGEM
SERTÃO DE CANINDÉ,Canindé,413,CANINDÉ
SERTÃO DE CANINDÉ,Caridade,269,CARIDADE
SERTÃO DE CANINDÉ,Itatira,446,ITATIRA
SERTÃO DE CANINDÉ,Madalena,204,MADALENA
SERTÃO DE CANINDÉ,Paramoti,118,PARAMOTI
SERTÃO DE SOBRAL,Alcântaras,100,ALCÂNTARAS
SERTÃO DE SOBRAL,Cariré,169,CARIRÉ
SERTÃO DE SOBRAL,Coreaú,158,COREAÚ
SERTÃO DE SOBRAL,Forquilha,102,FORQUILHA
SERTÃO DE SOBRAL,Frecheirinha,100,FRECHEIRINHA
SERTÃO DE SOBRAL,Graça,100,GRAÇA
SERTÃO DE SOBRAL,Groaíras,114,GROAÍRAS
SERTÃO DE SOBRAL,Massapê,167,MASSAPÊ
SERTÃO DE SOBRAL,Meruoca,101,MERUOCA
SERTÃO DE SOBRAL,Moraújo,143,MORAÚJO
SERTÃO DE SOBRAL,Mucambo,102,MUCAMBO
SERTÃO DE SOBRAL,Pacujá,101,PACUJÁ
SERTÃO DE SOBRAL,Pires Ferreira,101,PIRES FERREIRA
SERTÃO DE SOBRAL,Reriutaba,149,RERIUTABA
SERTÃO DE SOBRAL,Santana do Acaraú,456,SANTANA DO ACARAÚ
SERTÃO DE SOBRAL,Senador sá,102,SENADOR SÁ
SERTÃO DE SOBRAL,Sobral,587,SOBRAL
SERTÃO DE SOBRAL,Varjota,111,VARJOTA
SERTÃO DOS CRATEÚS,Ararendá,101,ARARENDÁ
SERTÃO DOS CRATEÚS,Catunda,107,CATUNDA
SERTÃO DOS CRATEÚS,Crateús,258,CRATEÚS
SERTÃO DOS CRATEÚS,Hidrolândia,106,HIDROLÂNDIA
SERTÃO DOS CRATEÚS,Independência,122,INDEPENDÊNCIA
SERTÃO DOS CRATEÚS,Ipaporanga,115,IPAPORANGA
SERTÃO DOS CRATEÚS,Ipueiras,176,IPUEIRAS
SERTÃO DOS CRATEÚS,Monsenhor Tabosa,184,MONSENHOR TABOSA
SERTÃO DOS CRATEÚS,Nova Russas,115,NOVA RUSSAS
SERTÃO DOS CRATEÚS,Novo Oriente,201,NOVO ORIENTE
SERTÃO DOS CRATEÚS,Poranga,100,PORANGA
SERTÃO DOS CRATEÚS,Santa Quitéria,229,SANTA QUITÉRIA
SERTÃO DOS CRATEÚS,Tamboril,182,TAMBORIL
SERTÃO DOS INHAMUNS,Aiuaba,212,AIUABA
SERTÃO DOS INHAMUNS,Arneiroz,100,ARNEIROZ
SERTÃO DOS INHAMUNS,Parambu,117,PARAMBU
SERTÃO DOS INHAMUNS,Quiterianópolis,100,QUITERIANÓPOLIS
SERTÃO DOS INHAMUNS,Tauá,200,TAUÁ
VALE DO JAGUARIBE,Alto Santo,103,ALTO SANTO
VALE DO JAGUARIBE,Ererê,102,ERERÊ
VALE DO JAGUARIBE,Iracema,107,IRACEMA
VALE DO JAGUARIBE,Jaguaretama,109,JAGUARETAMA
VALE DO JAGUARIBE,Jaguaribara,108,JAGUARIBARA
VALE DO JAGUARIBE,Jaguaribe,108,JAGUARIBE
VALE DO JAGUARIBE,Limoeiro do Norte,239,LIMOEIRO DO NORTE
VALE DO JAGUARIBE,Morada Nova,290,MORADA NOVA
VALE DO JAGUARIBE,Palhano,121,PALHANO
VALE DO JAGUARIBE,Pereiro,140,PEREIRO
VALE DO JAGUARIBE,Potiretama,104,POTIRETAMA
VALE DO JAGUARIBE,Quixeré,101,QUIXERÉ
VALE DO JAGUARIBE,Russas,272,RUSSAS
VALE DO JAGUARIBE,São João do Jaguaribe,100,SÃO JOÃO DO JAGUARIBE
VALE DO JAGUARIBE,Tabuleiro do Norte,142,TABULEIRO DO NORTE
