mun_upp,Região de Planejamento,valor
PARACURU,Grande Fortaleza,1259685.8499999999
PARAIPABA,Grande Fortaleza,1371969.42
PARAMBU,Sertão dos Inhamuns,887330.17
PARAMOTI,Sertão de Canindé,673591.73
PEDRA BRANCA,Sertão Central,1722882.1
PENAFORTE,Cariri,755438.65
PENTECOSTE,Litoral Oeste / Vale do Curu,1135394.2899999998
PEREIRO,Vale do Jaguaribe,1057790.86
PINDORETAMA,Grande Fortaleza,1275288.3399999999
PIQUET CARNEIRO,Sertão Central,834715.78
PIRES FERREIRA,Sertão de Sobral,374063.03
PORANGA,Sertão dos Crateús,910250.5700000001
PORTEIRAS,Cariri,736868.99
POTENGI,Cariri,857710.6000000001
POTIRETAMA,Vale do Jaguaribe,756090.34
QUITERIANÓPOLIS,Sertão dos Inhamuns,741743.92
QUIXADÁ,Sertão Central,4020923.49
QUIXELÔ,Centro Sul,910487.0599999999
QUIXERAMOBIM,Sertão Central,3019370.9400000004
QUIXERÉ,Vale do Jaguaribe,724572.36
REDENÇÃO,Maciço de Baturité,1308536.76
RERIUTABA,Sertão de Sobral,870131.63
RUSSAS,Vale do Jaguaribe,1947703.56
SABOEIRO,Centro Sul,1079160.89
SALITRE,Cariri,548008.91
SANTA QUITÉRIA,Sertão dos Crateús,1348997.95
SANTANA DO ACARAÚ,Sertão de Sobral,3248373.45
SANTANA DO CARIRI,Cariri,1456913.58
SENADOR POMPEU,Sertão Central,1484220.92
SENADOR SÁ,Sertão de Sobral,680490.89
SOBRAL,Sertão de Sobral,4364383.45
SOLONÓPOLE,Sertão Central,788079.5099999999
SÃO BENEDITO,Serra da Ibiapaba,2066774.66
SÃO GONÇALO DO AMARANTE,Grande Fortaleza,2051992.46
SÃO JOÃO DO JAGUARIBE,Vale do Jaguaribe,543516.51
SÃO LUÍS DO CURU,Grande Fortaleza,587773.6699999999
TABULEIRO DO NORTE,Vale do Jaguaribe,1219692.26
TAMBORIL,Sertão dos Crateús,1554346.02
TARRAFAS,Cariri,584533.0900000001
TAUÁ,Sertão dos Inhamuns,1713997.86
TEJUÇUOCA,Litoral Oeste / Vale do Curu,2013633.23
TIANGUÁ,Serra da Ibiapaba,3193857.09
TRAIRI,Grande Fortaleza,3453627.44
TURURU,Litoral Oeste / Vale do Curu,883086.8400000001
UBAJARA,Serra da Ibiapaba,717920.14
UMARI,Centro Sul,492457.95999999996
UMIRIM,Litoral Oeste / Vale do Curu,2038732.85
URUBURETAMA,Litoral Oeste / Vale do Curu,1041750.58
URUOCA,Litoral Norte,922839.07
VARJOTA,Sertão de Sobral,479274.16000000003
VIÇOSA DO CEARÁ,Serra da Ibiapaba,5666847.75
VÁRZEA ALEGRE,Cariri,1980493.04
