;Orgão;Instrumento;Nº OBT;Valor OBT;Data Emissão;CPF/CNPJ;Fornecedor;Tipo DL;Código Item;IPT;Valor DL;Nº DL;Valor Item;Data Pagamento;Dia;Quinzena;Mês;Ano;Situação OBT;CNPJ 14FILL;CNPJ BÁSICO;CNPJ ORDEM;CNPJ DV;IDENTIFICADOR MATRIZ/FILIAL;NOME FANTASIA;SITUAÇÃO CADASTRAL;DATA SITUAÇÃO CADASTRAL;MOTIVO SITUAÇÃO CADASTRAL;CNAE FISCAL PRINCIPAL;CNAE FISCAL SECUNDÁRIA;TIPO DE LOGRADOURO;LOGRADOURO;NÚMERO;COMPLEMENTO;BAIRRO;CEP;SITUAÇÃO ESPECIAL;DATA DA SITUAÇÃO ESPECIAL;CNPJ_x;codigo;Código do município (IBGE);Nome do município;mun_upp;Região de Planejamento;REGIÃO DE PLANEJAMENTO;Nº LOTE;UNIDADE GERENCIADORA;Município;NÚMERO DE COZINHAS POR MUNICÍPIO;N° COZINHAS TOTAL /LOTE;N° COZINHAS FUNCIONANDO;FUNCIONANDO (TOTAL/LOTE);AGUARDANDO AUTORIZAÇÃO PARA ABRIR  (SALDO 2023-2024);AGUARDANDO AUTORIZAÇÃO PARA ABRIR  (SALDO 2023-2024) TOTAL;NOVAS COZINHAS (2025);TOTAL DE COZINHA PARA ABRIR;TOTAL GERAL COZINHAS/LOTE;REFEIÇÕES /DIA;Nome;CNPJ_y;Situação;Filiação;Data de Validade;Data Cadastro;Data Alteracao;Nº de Socios;Nº de Sócios Válidos;Sócios com CAF(%);CNPJ_str
569;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240715001264000;609.7;2024-07-15;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);609.7;3706;53.76;2024-07-16;16;2ªQuinzena;jul.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
571;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240717001265000;609.7;2024-07-17;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);609.7;3705;53.76;2024-07-18;18;2ªQuinzena;jul.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
587;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240805001276300;3048.5;2024-08-05;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);3048.5;3723;268.8;2024-08-06;6;1ªQuinzena;ago.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
588;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240805001276300;1219.4;2024-08-05;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);1219.4;3724;107.52;2024-08-06;6;1ªQuinzena;ago.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
589;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240805001276300;609.7;2024-08-05;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);609.7;3725;53.76;2024-08-06;6;1ªQuinzena;ago.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
596;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240807001277900;3048.5;2024-08-07;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);3048.5;3722;268.8;2024-08-08;8;1ªQuinzena;ago.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
597;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240807001277900;609.7;2024-08-07;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);609.7;3726;53.76;2024-08-08;8;1ªQuinzena;ago.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
604;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240814001280800;609.7;2024-08-14;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);609.7;3727;53.76;2024-08-16;16;2ªQuinzena;ago.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
619;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240905001293000;578.65;2024-09-05;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);578.65;3772;64.0;2024-09-06;6;1ªQuinzena;set.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
620;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240905001293000;679.6;2024-09-05;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);679.6;3774;72.0;2024-09-06;6;1ªQuinzena;set.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
