;Orgão;Instrumento;Nº OBT;Valor OBT;Data Emissão;CPF/CNPJ;Fornecedor;Tipo DL;Código Item;IPT;Valor DL;Nº DL;Valor Item;Data Pagamento;Dia;Quinzena;Mês;Ano;Situação OBT;CNPJ 14FILL;CNPJ BÁSICO;CNPJ ORDEM;CNPJ DV;IDENTIFICADOR MATRIZ/FILIAL;NOME FANTASIA;SITUAÇÃO CADASTRAL;DATA SITUAÇÃO CADASTRAL;MOTIVO SITUAÇÃO CADASTRAL;CNAE FISCAL PRINCIPAL;CNAE FISCAL SECUNDÁRIA;TIPO DE LOGRADOURO;LOGRADOURO;NÚMERO;COMPLEMENTO;BAIRRO;CEP;SITUAÇÃO ESPECIAL;DATA DA SITUAÇÃO ESPECIAL;CNPJ;codigo;Código do município (IBGE);Nome do município;mun_upp;Região de Planejamento;REGIÃO DE PLANEJAMENTO;Nº LOTE;UNIDADE GERENCIADORA;Município;NÚMERO DE COZINHAS POR MUNICÍPIO;N° COZINHAS TOTAL /LOTE;N° COZINHAS FUNCIONANDO;FUNCIONANDO (TOTAL/LOTE);AGUARDANDO AUTORIZAÇÃO PARA ABRIR  (SALDO 2023-2024);AGUARDANDO AUTORIZAÇÃO PARA ABRIR  (SALDO 2023-2024) TOTAL;NOVAS COZINHAS (2025);TOTAL DE COZINHA PARA ABRIR;TOTAL GERAL COZINHAS/LOTE;REFEIÇÕES /DIA
10;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231102001113900;44653.58;2023-11-02;8107174000160;F V OLIVEIRA NOGUEIRA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);44653.78;11299;2547.02;2023-11-03;3;1ªQuinzena;nov.;2023;Efetivada;08107174000160;08107174;0001;60;1;;02;20060621;00;4711302;1091102,4721102,4721103,4721104,4722901,4723700,4724500,4742300,4751201,4753900,4755502,4755503,4761003,4763601,4763602,4772500,4782201,4789004,4789005,4930201;PRACA;ALCIDES BARREIRA;48;;CENTRO;63600000;;;08107174000160;1555;2312700.0;Senador Pompeu;SENADOR POMPEU;Sertão Central;Sertão Central;LOTE 31;IARTE;Senador Pompeu;9.0;29.0;9.0;29.0;0.0;0.0;2.0;2.0;31.0;3.1
11;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231107001116100;340.0;2023-11-07;8107174000160;F V OLIVEIRA NOGUEIRA;Nota Fiscal;213;"Matérial de Higienização e Limpeza 
";340.0;11349;135.12;2023-11-08;8;1ªQuinzena;nov.;2023;Efetivada;08107174000160;08107174;0001;60;1;;02;20060621;00;4711302;1091102,4721102,4721103,4721104,4722901,4723700,4724500,4742300,4751201,4753900,4755502,4755503,4761003,4763601,4763602,4772500,4782201,4789004,4789005,4930201;PRACA;ALCIDES BARREIRA;48;;CENTRO;63600000;;;08107174000160;1555;2312700.0;Senador Pompeu;SENADOR POMPEU;Sertão Central;Sertão Central;LOTE 31;IARTE;Senador Pompeu;9.0;29.0;9.0;29.0;0.0;0.0;2.0;2.0;31.0;3.1
12;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231107001116100;85.0;2023-11-07;8107174000160;F V OLIVEIRA NOGUEIRA;Nota Fiscal;213;"Matérial de Higienização e Limpeza 
";85.0;11350;10.68;2023-11-08;8;1ªQuinzena;nov.;2023;Efetivada;08107174000160;08107174;0001;60;1;;02;20060621;00;4711302;1091102,4721102,4721103,4721104,4722901,4723700,4724500,4742300,4751201,4753900,4755502,4755503,4761003,4763601,4763602,4772500,4782201,4789004,4789005,4930201;PRACA;ALCIDES BARREIRA;48;;CENTRO;63600000;;;08107174000160;1555;2312700.0;Senador Pompeu;SENADOR POMPEU;Sertão Central;Sertão Central;LOTE 31;IARTE;Senador Pompeu;9.0;29.0;9.0;29.0;0.0;0.0;2.0;2.0;31.0;3.1
13;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231111001119700;3724.41;2023-11-11;899037000101;POSTO DOTH LTDA;Nota Fiscal;121;"Deslocamento e Logística (combustiveis, locação de veiculos)
";3724.45;6864;3724.45;2023-11-13;13;1ªQuinzena;nov.;2023;Efetivada;00899037000101;00899037;0001;01;1;POSTO DOTH;02;20051103;00;4731800;4520005,4520006,4530705,4732600,4784900;RUA;SEBASTIAO RIBEIRO DA SILVA;S/N;;CENTRO;63800000;;;00899037000101;1529;2311405.0;Quixeramobim;QUIXERAMOBIM;Sertão Central;Sertão Central;LOTE 30;CENTRO SOCIAL DOS MORADORES DO PARQUE SÃO JOSÉ;Quixeramobim;11.0;36.0;11.0;36.0;0.0;0.0;4.0;4.0;40.0;4.0
14;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231111001119700;425.0;2023-11-11;8107174000160;F V OLIVEIRA NOGUEIRA;Nota Fiscal;213;"Matérial de Higienização e Limpeza 
";425.0;11389;168.9;2023-11-13;13;1ªQuinzena;nov.;2023;Efetivada;08107174000160;08107174;0001;60;1;;02;20060621;00;4711302;1091102,4721102,4721103,4721104,4722901,4723700,4724500,4742300,4751201,4753900,4755502,4755503,4761003,4763601,4763602,4772500,4782201,4789004,4789005,4930201;PRACA;ALCIDES BARREIRA;48;;CENTRO;63600000;;;08107174000160;1555;2312700.0;Senador Pompeu;SENADOR POMPEU;Sertão Central;Sertão Central;LOTE 31;IARTE;Senador Pompeu;9.0;29.0;9.0;29.0;0.0;0.0;2.0;2.0;31.0;3.1
15;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231111001119700;7509.9;2023-11-11;8107174000160;F V OLIVEIRA NOGUEIRA;Nota Fiscal;212;"Embalagens e Descartáveis  (marmita, colher e touca)
";7509.9;11390;7080.0;2023-11-13;13;1ªQuinzena;nov.;2023;Efetivada;08107174000160;08107174;0001;60;1;;02;20060621;00;4711302;1091102,4721102,4721103,4721104,4722901,4723700,4724500,4742300,4751201,4753900,4755502,4755503,4761003,4763601,4763602,4772500,4782201,4789004,4789005,4930201;PRACA;ALCIDES BARREIRA;48;;CENTRO;63600000;;;08107174000160;1555;2312700.0;Senador Pompeu;SENADOR POMPEU;Sertão Central;Sertão Central;LOTE 31;IARTE;Senador Pompeu;9.0;29.0;9.0;29.0;0.0;0.0;2.0;2.0;31.0;3.1
16;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231111001119700;60288.3;2023-11-11;8107174000160;F V OLIVEIRA NOGUEIRA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);60288.36;11391;3195.4;2023-11-13;13;1ªQuinzena;nov.;2023;Efetivada;08107174000160;08107174;0001;60;1;;02;20060621;00;4711302;1091102,4721102,4721103,4721104,4722901,4723700,4724500,4742300,4751201,4753900,4755502,4755503,4761003,4763601,4763602,4772500,4782201,4789004,4789005,4930201;PRACA;ALCIDES BARREIRA;48;;CENTRO;63600000;;;08107174000160;1555;2312700.0;Senador Pompeu;SENADOR POMPEU;Sertão Central;Sertão Central;LOTE 31;IARTE;Senador Pompeu;9.0;29.0;9.0;29.0;0.0;0.0;2.0;2.0;31.0;3.1
17;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231114001121400;932.15;2023-11-14;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;213;"Matérial de Higienização e Limpeza 
";932.15;2122;182.07;2023-11-16;16;2ªQuinzena;nov.;2023;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;;;20968028000124;1529;2311405.0;Quixeramobim;QUIXERAMOBIM;Sertão Central;Sertão Central;LOTE 30;CENTRO SOCIAL DOS MORADORES DO PARQUE SÃO JOSÉ;Quixeramobim;11.0;36.0;11.0;36.0;0.0;0.0;4.0;4.0;40.0;4.0
18;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231114001121700;27709.93;2023-11-14;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;212;"Embalagens e Descartáveis  (marmita, colher e touca)
";27709.93;2120;177.93;2023-11-16;16;2ªQuinzena;nov.;2023;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;;;20968028000124;1529;2311405.0;Quixeramobim;QUIXERAMOBIM;Sertão Central;Sertão Central;LOTE 30;CENTRO SOCIAL DOS MORADORES DO PARQUE SÃO JOSÉ;Quixeramobim;11.0;36.0;11.0;36.0;0.0;0.0;4.0;4.0;40.0;4.0
19;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231114001121700;179947.99;2023-11-14;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);179948.01;2123;697.53;2023-11-16;16;2ªQuinzena;nov.;2023;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;;;20968028000124;1529;2311405.0;Quixeramobim;QUIXERAMOBIM;Sertão Central;Sertão Central;LOTE 30;CENTRO SOCIAL DOS MORADORES DO PARQUE SÃO JOSÉ;Quixeramobim;11.0;36.0;11.0;36.0;0.0;0.0;4.0;4.0;40.0;4.0
